URL,Date,Tweet,Username
https://twitter.com/ROOVofficial/status/1655865836509483008,2023-05-09 09:22:34+00:00,"@HuuuuuuLiL Ada Coldplay, n banyak band luar yg mau tour ke Indonesia juga",ROOVofficial
https://twitter.com/gen1031fmsby/status/1655882806751289344,2023-05-09 10:30:00+00:00,"@KompasTV Ya Allah pak COLDPLAY ke Indonesia itu cuma buat tour konser nyanyi nggak kampanye2 yg lain,..Qatar aja yg negara hukum Islam cerdas bgt mengatasi masalah itu pas Piala Dunia kemarin,..ini kita yang INDONESIA negara PANCASILA harus bisa toleransi pak 🤯",gen1031fmsby
https://twitter.com/lvurselffirst/status/1655900883207716865,2023-05-09 11:41:50+00:00,"@Injang_Nation Coldplay ada 8 huruf. Tolak 5 jadi 3. Segitiga = freemason.
Coldplay terbalikkan jadi yalpdloc. Dalam bahasa sanskrit maksudnya israel itu sahabat karib.
Huruf L dalam Coldplay dekat dgn huruf i. i = illuminati.
Coldplay sebenarnya Call Play. Dia macam call girl.",lvurselffirst
https://twitter.com/caritaucom/status/1655938421611716609,2023-05-09 14:11:00+00:00,PA 212 Tolak Konser Coldplay di Jakarta: Mereka Pendukung LGBT https://t.co/Jsg48bc7ty,caritaucom
https://twitter.com/catttcutiesss/status/1656131352226586625,2023-05-10 02:57:38+00:00,"PA 212 TOLAK Konser Coldplay karena alesannya pendukung LGBT. eh drun di kelompok ente juga ada yang bejad Pengurus PA 212 cabul, mesum, bejad, penjahat kelamin, ente kenapa pada mingkem drun. https://t.co/bYsfFGMhvW",catttcutiesss
https://twitter.com/TribunJualBeli/status/1656141005207506945,2023-05-10 03:35:59+00:00,"Ketika Ustad pengurus PA 212 memperkosa Santriwati kenapa kalian diam tdk bergeming, padahal itu perbuatan bejat menghancurkan masa depan anak2.
PA 212 Tolak Konser Coldplay di Jakarta.
KNPI keren. https://t.co/SZagQklQlt",TribunJualBeli
https://twitter.com/precyjakcson/status/1656189041145180160,2023-05-10 06:46:52+00:00,"@eradotid Kalo konser Coldplay dianggap menyebarkan LGBT buat masyarakat Indonesia, kayanya yg mampu beli tiket konser Coldplay juga cuma yg mampu2 ajaa. Jadi gimana cara Coldplay buat menyebarkan pengaruh LGBT ke masyarakat Indonesia?",axeltimothy999
https://twitter.com/axeltimothy999/status/1656191112363782145,2023-05-10 06:55:06+00:00,"Fpi tolak coldplay namun mendukung rammstein konser di indon, fpi sahabatku",doubledsswmyg
https://twitter.com/doubledsswmyg/status/1656224852616024064,2023-05-10 09:09:10+00:00,"Konser Coldplay yang rencananya akan berlangsung pada November 2023 ditolak oleh Wasekjen Persaudaraan Alumni 212 Novel Bamukmin. Yg saya blm pernah dengar adalah 212 tolak teroris ngebom gereja😳
Apa ada yg prnh dengar?
Atau aku yg terlewatkan. https://t.co/1ErmGT0wik",splendidrosie_
https://twitter.com/splendidrosie_/status/1656231920391569409,2023-05-10 09:37:15+00:00,Tegas! PA 212 Tolak Konser Coldplay di Jakarta hingga Singgung Kasus Lady Gaga https://t.co/7VQgyo5v4o,upnbit_feeds
https://twitter.com/upnbit_feeds/status/1656231918424432642,2023-05-10 09:37:15+00:00,"Tolak Konser Coldplay, Alumni 212 Ancam Gelar Aksi Besar https://t.co/CJW3t8GQfF",busetdehhhh
https://twitter.com/busetdehhhh/status/1656347041960988672,2023-05-10 17:14:42+00:00,"Tolak Coldplay Datang ke Indonesia, Novel Bamukmin PA 212 Perintahkan Panitia Urung Gelar Konser
https://t.co/vszGjQhltE",kahulannf
https://twitter.com/kahulannf/status/1656353015241248768,2023-05-10 17:38:27+00:00,"Lumayan lah....
Tolak Konser Coldplay, Alumni 212 Ancam Gelar Aksi Besar https://t.co/ZWVPyk2Wpc",adnamharziza
https://twitter.com/adnamharziza/status/1656517618499735552,2023-05-11 04:32:31+00:00,Tolak Konser Coldplay Karena Tidak Punya Uang Untuk Beli Tiket,tommydatomtom
https://twitter.com/tommydatomtom/status/1656551766547398658,2023-05-11 06:48:13+00:00,"Wkwk si ompong kangen demo..😂
Nolak konser kaya kalian mampu nonton aja😀
Tolak Konser Coldplay, Alumni 212 Ancam Gelar Aksi Besar
Rencana konser grup band asal Inggris Coldplay di Stadion Utama Gelora Bung Karno Jakarta pada November 2023 ditentang keras oleh Persaudaraan Alumni (PA) 212. Bahkan alumni 212 siap menggelar aksi besar bila konser Coldplay tetap digelar di Jakarta.
https://t.co/YoLKxRWlMq",loketcom
https://twitter.com/lelegurame/status/1656554663154688000,2023-05-11 06:59:43+00:00,"Kedatangan Coldplay ke Indonesia itu menggelar konser musik, bukan kampanye LGBT, jadi tak perlu ketakutan yang berlebihan.
Jaga saja iman masing-masing !
@MUIPusat https://t.co/5Aofv3oRU4",VIVAcoid
https://twitter.com/loketcom/status/1656555626057830401,2023-05-11 07:03:33+00:00,"Ciye yang tolak konser Coldplay main ancam mo demo naik odong-odong 212 aja 😂😂
.
. https://t.co/lWXxYXk5Rx",kompascom
https://twitter.com/VIVAcoid/status/1656584971002298368,2023-05-11 09:00:09+00:00,"@txtdrimedia Mreka tolak coldplay, warga wakanda tolak mereka yg tolak coldplay",BOTMY_
https://twitter.com/kompascom/status/1656591039879340032,2023-05-11 09:24:16+00:00,"Oildun u20 di tolak
Coldplay di tolak.. Giliran blackpink diem baek.. Ouh sory yg mulus2 pasti di lindungi",arinmuhammad
https://twitter.com/BOTMY_/status/1656635753705926657,2023-05-11 12:21:57+00:00,"Abu Janda Soroti PA 212 Tolak Coldplay, Publik: Gw Tolak Anies Baswedan Jadi Presiden 2024
https://t.co/2azC5MbzrL",inilahdotcom
https://twitter.com/arinmuhammad/status/1656698679162712075,2023-05-11 16:31:59+00:00,"Tolak Konser Coldplay, Wasekjen PA 212: Kalau Nekat, Kita Kepung Bandara https://t.co/AiyLRVaiFV",kanim_surabaya
https://twitter.com/inilahdotcom/status/1656854445542739971,2023-05-12 02:50:57+00:00,"Tolak Konser Coldplay, Wasekjen PA 212: Kalau Nekat, Kita Kepung Bandara https://t.co/UQVWmHlRE8",orelliiii
https://twitter.com/kanim_surabaya/status/1656917773036183552,2023-05-12 07:02:35+00:00,"Definisi pilihan yg sulit sesungguhnya untuk taun ini adalah, dimama coldplay live concert in jakarta, bmth mau tour asia , ditambah one ok rock juga sama tour asia taun ini beda beberapa bln aja, ditambah lagi ada argentina lawan indonesia kapan lg liat messi dari deket kan 🥺🥺",tvOneNews
https://twitter.com/orelliiii/status/1656995067242921985,2023-05-12 12:09:44+00:00,@VIVAcoid waduh .....oke saya setuju tolak COLDPLAY.tapi bukan wewenang 212 untuk ngepung bandara karna akan merugikan semu pihhak.....pliss ojo ojo....212 ada wiro sableng guru nya sinto gendeng klu di flm tpi,lauvyoubeb
https://twitter.com/HILARlO/status/1657000340917735431,2023-05-12 12:30:41+00:00,MUI larang keras Coldplay bawa simbol LGBT saat konser di Indonesia @arrahmah #arrahmahcom https://t.co/cK2UsFgIdA,sanusidotcom
https://twitter.com/tvOneNews/status/1657023631057100802,2023-05-12 14:03:14+00:00,"@logikapolitikid @Beritasatu Tolak Piala Dunia krn ada timnas Israel, tolak Coldplay, pdhl yg pesen tiket udh rame krn btuh hiburan, ekonomi gerak dikit, terus seminggu kemudian keluarin statement Indonesia tidak baik2 saja. GABUT AMAT LU PADA!!!",Urrangawak
https://twitter.com/lauvyoubeb/status/1657050213947961344,2023-05-12 15:48:52+00:00,"Tolak Konser Coldplay, PA 212 Ancam Kepung Bandara hingga Demo Besar seperti saat Lady Gaga https://t.co/TQ8aGwsjZN",ZETHWAROUW
https://twitter.com/AriPurnami10/status/1657058183045861377,2023-05-12 16:20:32+00:00,@KompasTV Yang penting penyelenggara bisa 'memaksa' Coldplay untuk tidak kampanye LGBT saat konser di Indonesia.. gitu aja kan selalu ada solusi atas ketidaksepahaman. Kl sy jelas dukung LGBT : LaGi BuTuh uang buat war tiket coldplay,Indones1aku
https://twitter.com/sanusidotcom/status/1657067382073081856,2023-05-12 16:57:05+00:00,"@VIVAcoid Heyy lu lu semua yang ngebela ama coldplay, sama aja lu ngebela orang yang mendukung mereka yang mengkapanyekan LGBT !!! Kalo gue tetep tolak konser coldplay . . .",VIVAcoid
https://twitter.com/geloraco/status/1657070355801059329,2023-05-12 17:08:54+00:00,"MUI Larang Coldplay Bawa Simbol LGBT saat Konser di Indonesia
https://t.co/0EUbI4WKG2",anonirregular
https://twitter.com/Urrangawak/status/1657078953549651969,2023-05-12 17:43:04+00:00,"Tolak Konser Coldplay di Indonesia, PA 212 Ancam Kepung Bandara: PA 212 menolak keras konser Coldplay Indonesia karena Chris Martin CS dinilai pendukung LGBT dan penganut atheis. https://t.co/bTU56dT5Se",Beritasatu
https://twitter.com/ZETHWAROUW/status/1657153770206429185,2023-05-12 22:40:21+00:00,"PA 212 Tolak Konser Coldplay, Novel Bamukmin: Umat Islam Akan Blokir Lokasi dan Kepung Bandara https://t.co/dUO9reFlnO",BeritakanID_com
https://twitter.com/Indones1aku/status/1657163847671889921,2023-05-12 23:20:24+00:00,"""tuhan 212""
Tolak Konser Coldplay, Wasekjen PA 212: Kalau Nekat, Kita Kepung Bandara https://t.co/5dpw0zOZCm",aewin86
https://twitter.com/lovebirdlocal/status/1657200239235964929,2023-05-13 01:45:00+00:00,"Coldplay's first ever concert in Indonesia on 15 November. What could go wrong? Islamic group PA 212 rejects Coldplay’s Jakarta concert over band’s LGBT, atheism support. @coldplayxtra #MOTSWT https://t.co/S9igFtQSaQ via @Coconuts",thedufresne
https://twitter.com/VIVAcoid/status/1657205784424628224,2023-05-13 02:07:03+00:00,"Alesan PeA212 tolak Coldplay krena sudah terbiasa pake tolak Angin..
Jan dihubung2ken dgn isu agama
Markaz kita tuh toleran tauk! https://t.co/3aZf6hmRjZ",whbluemorpho
https://twitter.com/anonirregular/status/1657265501536661504,2023-05-13 06:04:20+00:00,"Tolak Konser Coldplay, Wasekjen PA 212: Kalau Nekat, Kita Kepung Bandara.
bagaimana ini @ItsMe_RBH @BoyRembaya @_sendirian__ @Heraloebss @Michaelnur6 @BennyKeef https://t.co/ADpka1A5Pn",Aryprasetyo85
https://twitter.com/Beritasatu/status/1657319315761426432,2023-05-13 09:38:11+00:00,"@qorygore mungkin playlistnya dia kaya gini qor
makanya tolak coldplay https://t.co/o7mteZwTOY",NyaiiBubu
https://twitter.com/Hazypillow/status/1657334562702385153,2023-05-13 10:38:46+00:00,Tentang gelombang penolakan konser Coldplay di Indonesia oleh PA 212 dan MUI karena Coldplay dianggap mendukung LGBT. Ada sekelumit pendapat saya di sini. https://t.co/zFYt4S0vC4,bonbonsov
https://twitter.com/infojakarta/status/1657342139121168385,2023-05-13 11:08:52+00:00,"saat tampil di Stadion Wembley, London.
Jadi PA 212 menolak kedatangan Coldplay, dan ingin mengepung Bandara
Soekarno-Hatta sebagai pintu masuk Coldplay ke Indonesia. Karena asumsinya terkait Coldplay yang mendukung LGBT.",regina_ngawur
https://twitter.com/BeritakanID_com/status/1657344759151861761,2023-05-13 11:19:17+00:00,@qorygore tolak Coldplay gantikan dengan konser tarian cambuk gurita 🫡 https://t.co/WTftUQJ9ZZ,terasjakartaid
https://twitter.com/aewin86/status/1657349325708722176,2023-05-13 11:37:25+00:00,"Sampai bikin agenda tolak konser Coldplay gini, apa jangan-jangan lagi pada sepi orderan yah gara-gara junjungan mereka Anies Baswedan berpotensi gak nyalon Pilpres 🤭
Ampun dah ini alumni 212 gak ada yang Umur 20 apa? Kok pada kaku banget sih 🤣🤣🤣 https://t.co/D8rq7wOylA",geloraco
https://twitter.com/yusuf_dumdum/status/1657362766179733504,2023-05-13 12:30:50+00:00,"Coldplay Pendukung LGBT, PA 212 Tolak Konsernya di Indonesia
#Coldplay #ColdplayIndonesia #Lampungpost
https://t.co/tl5BAFgdrO",VIVAbola
https://twitter.com/thedufresne/status/1657365932946362368,2023-05-13 12:43:25+00:00,"Heboh PA 212 Tolak Konser Coldplay karena LGBT, Abu Janda: Belom Pernah dengar ada Gay Jadi Teroris Ngebom Gereja https://t.co/VnHnSmLOXv",VIVAcoid
https://twitter.com/yaniarsim/status/1657372783444361217,2023-05-13 13:10:38+00:00,"Konser= mendukung toh..? Perasaan gak gitu deh , Blackpink juga konser asing bisa jadi mereka terintimidasi Lgbt kenapa gak ditolak .?
Coldplay di Indonesia tidak mengkampanyekan gerakan lgbt , Belajarlah dari Qatar :)",abu_hikam
https://twitter.com/whbluemorpho/status/1657384312487178240,2023-05-13 13:56:27+00:00,"@AnakLolina2 Bakal Cawapres Abas tolak konser Coldplay ..?
Mungkin mo naikkan elektabilitasnya🤭 https://t.co/TkFpIBITwg",Lasioandriyant1
https://twitter.com/Aryprasetyo85/status/1657388263899009026,2023-05-13 14:12:09+00:00,"@KerambitBelon @elmiyyin @aidasam_ Kita tolak lah opinion coldplay dalam isu lgbt tapi sokong lah bab menjaga alam sekitar.
Kita tak perlu setuju approach politik kemal tapi jangan tolak jasa dia bangunkan rakyat turki.
Jangan jumud kan pandangan dengan anggap keseluruhan bagus atau keseluruhan tak bagus.",yoyen
https://twitter.com/NyaiiBubu/status/1657402355107913730,2023-05-13 15:08:09+00:00,Kalo ga dapet tiket ikut pa 212 tolak coldplay ini mah,uun_pusau
https://twitter.com/bonbonsov/status/1657408022732488704,2023-05-13 15:30:40+00:00,"@BadmintonTalk tiket coldplay, meet up atlet, degradasi dn promosi, mimin tour asia, racikan xd baru dn md baru, wawncra atlet, pelatih anyar, pemain naturalisasi, indonesia jd host bwc, daddies pensiun,",tvOneNews
https://twitter.com/regina_ngawur/status/1657451798662365184,2023-05-13 18:24:37+00:00,@IDWantsColdplay @coldplay yuk @coldplay bisa yuk tour keliling Indonesia,MaghlilD
